,evspsbl_CO2_anom,evspsbl_G1_anom,evspsbl_pic,hfdsn_CO2_anom,hfdsn_G1_anom,hfdsn_pic,hfls_CO2_anom,hfls_G1_anom,hfls_pic,hfss_CO2_anom,hfss_G1_anom,hfss_pic,hurs_CO2_anom,hurs_G1_anom,hurs_pic,lwsnl_CO2_anom,lwsnl_G1_anom,lwsnl_pic,p-e_CO2_anom,p-e_G1_anom,p-e_pic,pr_CO2_anom,pr_G1_anom,pr_pic,prsn_CO2_anom,prsn_G1_anom,prsn_pic,rlds_CO2_anom,rlds_G1_anom,rlds_pic,rlus_CO2_anom,rlus_G1_anom,rlus_pic,rsds_CO2_anom,rsds_G1_anom,rsds_pic,rsus_CO2_anom,rsus_G1_anom,rsus_pic,sbl_CO2_anom,sbl_G1_anom,sbl_pic,sfc_heat_CO2_anom,sfc_heat_G1_anom,sfc_heat_pic,sfc_lw_CO2_anom,sfc_lw_G1_anom,sfc_lw_pic,sfc_nonrad_CO2_anom,sfc_nonrad_G1_anom,sfc_nonrad_pic,sfc_rad_CO2_anom,sfc_rad_G1_anom,sfc_rad_pic,sfc_sw_CO2_anom,sfc_sw_G1_anom,sfc_sw_pic,snd_CO2_anom,snd_G1_anom,snd_pic,snm_CO2_anom,snm_G1_anom,snm_pic,snw_CO2_anom,snw_G1_anom,snw_pic,tas_CO2_anom,tas_G1_anom,tas_pic,ts_CO2_anom,ts_G1_anom,ts_pic,tsn_CO2_anom,tsn_G1_anom,tsn_pic
BNU-ESM,,,,,,,0.14135907618273552,0.02840892509539114,0.08287611563924081,2.874378958909965,1.7564599153377038,-31.282885379381206,-0.5273171092370461,,93.22322172205601,-369.94747561283356,,552.050246338822,0.4491192788176449,0.05300176950178892,0.8647524391606761,0.45476791685755846,0.05471204453910661,0.8676166394255487,0.21736358688344082,,0.42851957660868945,24.362991939109932,6.7072431632228415,109.81048707454998,22.23447763023563,5.434002006928068,145.52895834295109,-0.08114244396684578,-0.047672038229674696,1.9318459412004323,-0.06803661775931547,-0.03524170190200682,1.4647890340307574,,,,-0.9003295638602662,-0.5240583891406825,-4.051405073499954,2.128514308874287,1.2732411562948158,-35.718471268401125,-3.0157379612188464,-1.7848687837251767,31.200009190935802,2.1154084974924032,1.2608104965749902,-35.251414361751515,-0.013105826207530313,-0.012430336327667546,0.46705690716967485,-1278.2413865335322,,1371.1435321221722,0.004201778900784795,,0.0001238635570175242,-799148.0040739746,,846553.1134465786,7.949527375707433,1.9963647944238474,-47.09154561323638,,,,0.7771483028817912,,-19.177559014101675
CCSM4,0.007400146912620744,0.00340912644569011,0.010747554866042773,-0.10422876868335562,-0.2658216049126443,3.5673562127046194,0.24427567771573455,0.10994556453479915,0.3244881275961574,2.062769539438385,1.172678892683912,-37.56712011877175,-1.2461961054494708,-0.596781503592112,92.07745162777223,0.0015138447145096308,5.076714849600487e-06,2.2336862614743324e-06,0.2261566631771863,0.0030093117469771613,0.5387309307362342,0.23355680762310627,0.0064184384815632045,0.5494784864645487,0.2230417214888677,0.006012480068832038,0.5406110542108074,18.27254356061367,4.962385736690138,111.92544978972735,15.637333790438618,3.3957914791530754,154.64955556864123,-0.0661071245080247,-0.07936259657628653,1.9489550046529014,-0.05543899894677118,-0.06812946678958332,1.643201061839599,,,,0.31749642767746167,0.2727366007355272,-5.175719791611292,2.6352097701749884,1.5665942575370195,-42.72410577891386,-2.3070451982139772,-1.2826244236230835,37.24263199194367,2.6245416421415086,1.5553610587591322,-42.41835178555658,-0.010668125561253461,-0.011233129786703155,0.3057539428133027,-0.005822725816452046,0.008589314548324678,1.9492044981932786,0.0006751110073858061,1.2120766336986488e-05,2.0619303978068338e-06,-15.119707096340562,-6.102687215851574,994.2936117607682,5.440580496696157,1.1669369096021711,-43.19916453550942,,,,,,
CESM-CAM5.1-FV,0.004419168375750543,0.00043070332869877496,-0.005917935888450142,,,,0.11414804807386705,0.045828070752497396,-0.22349762766120096,,0.8600284926671193,-25.035393663922513,,,,,,,0.23142285974284282,-0.031222002882871247,0.6097170368375625,0.23677494218554063,-0.02985838672828145,0.6028661874083696,,,,,2.842634963370813,112.39709970088668,,1.7919862372945659,145.01554664111845,,-0.10026776969882834,2.006066973863955,,-0.08495812634304212,1.6906496505518038,,,,,0.1294823438087569,-7.044138255980973,-33.74443648538868,1.0506487260762398,-32.618446940231756,,-0.9058565601865531,25.258891287561966,,1.0353389371647843,-32.303029547705016,70.74026725061432,-0.015309643355786717,0.31541732331215155,,,,,,,,,,6.106363110823587,0.6402451655320007,-47.031023623862836,,,,,,
CSIRO-Mk3L-1-2,0.0006624821628592448,0.00014899381616851145,0.0004725351935760248,,,,0.019169044289855774,0.004311164035127782,0.013672894032083091,1.1231742950090435,0.42051639851776557,-18.23579776152128,,,,,,,0.14624367233648683,0.012849934860975187,0.3929290980906166,0.14690615561764941,0.012998929551716942,0.39340163121533167,0.14066506202200113,0.01273141539143996,0.38664813343912907,11.890596424382323,2.8326288880584514,117.20425353925646,11.031616319113454,2.4541334408555997,140.45666212242782,-0.0919884920028533,-0.07848513243104183,2.050762391274817,-0.07500729979606913,-0.06301169835792764,1.6394409346776424,,,,-0.30034381800887644,-0.06180517629089355,-4.618962635699519,0.8589801052688486,0.3784954472028552,-23.252408583171356,-1.1423433597258388,-0.42482761859500684,18.22212489693966,0.8419995256031818,0.36302237684640914,-22.841087502919684,-0.016981192206783458,-0.015473434073113468,0.41132145659717434,-0.3131414807069355,-0.014849816131139004,3.41271484962913,,,,-31.31414831402435,-1.484982462326741,341.27148908845214,3.9356724449042275,0.841119821017493,-48.59618940575791,4.093171949176828,0.9542232992069728,-51.68779648246085,,,
CanESM2,0.0030854931879886246,0.0005911095177454418,-0.003600268698651926,,,,0.1012394311654153,0.01939376024166725,-0.11813129677732032,2.2942945618033974,1.1100292239369125,-33.626801393392796,0.48057182191483605,0.28856254648928825,82.13894773244941,,,,0.19654819546990593,0.0068504720417193465,0.4523118482453185,0.199633686210771,0.007441582187610318,0.44871158079175927,0.19629725736104425,0.007396257947343499,0.44836324114545917,17.9541194332094,3.325921605221623,112.23531030004668,15.417471031907098,2.0908436486667767,150.88072531893883,-0.08500284976470684,-0.10056071579770043,2.118983946187815,-0.062100608905004684,-0.08010930221308232,1.7388230895386967,,,,0.11821208551720375,0.0852029452291383,-4.520321070405093,2.5366484013023154,1.2350779565548748,-38.64541501889215,-2.3955339830778613,-1.12942301139082,33.74493270128954,2.5137460710744577,1.2146259235949515,-38.265253759609614,-0.02290224085970155,-0.020451413584617995,0.38016085664911803,0.005188331758329889,0.00020532446366910984,0.34778148997583075,0.001425104233083189,1.074918650710958e-05,1.8963216468772728e-05,-0.13809936043912785,-0.0042019717087242725,99.9585425846138,5.549185376791378,0.7462970714285362,-45.153009071247766,,,,5.697585404757021,0.7754078111624736,-44.94712694273698
GISS-E2-R,0.013361078729387216,0.0009310044963667941,0.0833822882074215,,,,0.38660526662563965,0.02693877516433263,2.412682012263039,-0.6166315222570944,0.6505599998055658,47.059358494486276,-2.5612326004076493,-2.2826009687198194,104.64950755124546,-0.36201292121882034,0.13082093422633534,82.57596231069215,0.06297440814971444,-0.018281635304605248,0.4985309600555684,0.07633548481334063,-0.017350627425141374,0.5819132475329212,0.07595085329655815,-0.01732892611688952,0.581831238493493,7.252779517976705,0.7469363420511712,107.05700437084076,6.184592248931324,1.1434225453158433,159.28887200376772,-0.04465392399159218,-0.08448522293654559,1.9349199187762893,-0.03986117820737123,-0.067688921119615,1.5372655666615074,,,,1.2934210384753015,-1.0907808243016461,-101.30625418067245,1.0681872690453673,-0.3964862032646579,-52.23186763292696,0.23002627203164394,-0.6774988886032247,-49.47204050636162,1.0633948095332784,-0.41328219605300376,-51.83421351400008,-0.004792745893364814,-0.016796301758145393,0.39765435211478195,-0.0012067092358578058,0.0004360705545786714,0.2752532071601557,0.0,0.0,0.0,,,,2.07387191560629,0.37189393932580117,-41.64331325600662,2.0722729028553886,0.37039893298060633,-314.8264193111661,,,
HadCM3,0.012842836597028895,-0.028542059439041978,0.4837571960386665,,,,,,,,,,,,,,,,0.19500072654260603,-0.02335266445118034,0.5733471446130328,0.2078435585725562,-0.051894722786941294,1.0571043401263964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4998061661394786,0.3827716650366272,0.8334310172362914,,,,,,
HadGEM2-ES,0.01064754150103454,0.001987266786846005,-0.0015273980184819186,,,,0.3157226858861577,0.06306968733687084,-0.05829618843827401,2.1482517964574797,0.7750728607768309,-29.226935071903668,-5.303625513953548,-1.9752364174958643,104.36554938436933,,,,0.20962324204883415,0.0005603872485789863,0.4923523564448388,0.2202707858272157,0.002547656783938701,0.4908249557356078,0.21753592640689656,0.0025175113148651063,0.49057065942370104,19.72337453229447,4.584341465331917,123.13804368466201,17.984869533567064,3.6834355553550324,155.5489512306393,-0.0710321505821514,-0.08790392694894567,1.7358862877379901,-0.059126613903611736,-0.0672970637998822,1.321401665946754,,,,-0.7373751674208258,0.04215655299406906,-2.711191738828409,1.7385049987274428,0.9009059099769239,-32.410907545977295,-2.4639744908755716,-0.8381425724295859,29.285231276553322,1.7265993324009692,0.880299113060186,-31.996423007099985,-0.011905536678540163,-0.020606863149063515,0.4144846217912363,,,,,,,187.8471041347657,118.86609949637204,177806.38244713773,6.1776498868931355,1.3113750775140005,-43.068670766711186,,,,,,
IPSL-CM5A-LR,0.005142252568037339,0.000994960200662344,0.05050808836664541,,,,,,,2.448949787515666,2.0806187034498507,-42.493826308142566,,,,,,,0.1251546666740304,0.009887806218105144,0.43621215798537816,0.1302969206964894,0.010882766393968735,0.48672024477224324,0.12940739941457935,0.010848991689778376,0.4865729165354714,14.454887562194443,4.124754146571561,108.96890684003323,10.906862568224625,1.6438347665741446,160.2760373520933,-0.07859806023280491,-0.09316857843553716,1.599194492059563,-0.062398275289043736,-0.06820465045011992,1.1884252516257776,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5863854941859117,0.37949567522181127,-40.899288462631695,,,,,,
MIROC-ESM,-0.002438270226159417,0.0027658053177709602,-0.01784800181013952,0.10683450187094756,-0.09140758143112016,1.5509436298416288,-0.07055180201857814,0.08002908853122798,-0.5164352377937198,3.8522579179022856,2.136139175342194,-39.03961927819267,-0.3413172126588506,-0.33432660458112196,95.9276693115686,,,,0.19234676812162843,-0.03840434807315907,0.5188906186719795,0.18990849962428225,-0.03563854120018939,0.5010426174338957,0.18948841682553974,-0.03561878271905761,0.5010058333901585,16.98008620420572,2.35839047749829,109.10102167176592,13.326013251003587,0.01738967652480028,150.66768872572436,-0.05936205500736724,-0.10202031169328607,1.9674036660348901,-0.04881452764469185,-0.08286684348574469,1.584562296607221,,,,-0.13818100078719353,0.10567911366619853,-1.6277709741619795,3.6540729532021174,2.3410008009734895,-41.566667053958454,-3.781706118001317,-2.2161681169100262,39.556054458381844,3.6435251116788976,2.321847374235773,-41.18382548918025,-0.010547527362674947,-0.019153468207541102,0.38284136942766894,-0.12638737058816174,0.0014258986214663594,3.312488328765823,0.0004260899068649151,-2.0229006679216776e-05,2.2503664088651167e-05,-37.91621023621019,0.4277707556296946,993.7465090267727,4.675636364675611,-0.07702166292235546,-44.71940911329479,,,,4.9084402560092215,-0.3749823001319754,-38.829386601710354
MPI-ESM-LR,0.002004945051053076,0.02663783082337589,-0.013928248347934317,,,,0.06576167664927302,0.03999133672564181,-0.4569394738242263,1.8061009213028463,0.6704370625671672,-31.988433848206668,,,,,,,0.1342762769506416,0.019830125510550967,0.5496477165176471,0.13628121753651834,0.019348647797628904,0.5357194684384581,0.1348107266018319,,0.5351887304570145,15.575632506270821,4.832981328590677,123.159961622236,13.34256421402742,3.717826256359956,160.7951317025939,-0.040575797774101696,-0.10857261135787932,1.9155808321308558,-0.03316243673225472,-0.09144952374784365,1.623198707404934,,,,0.35379229734583006,0.3876037974143962,-4.897414603347199,2.2330682922434306,1.1151550722307846,-37.63517008035791,-1.871862617073866,-0.7104284210064478,32.44537334731306,2.2256549000501096,1.0980322028133003,-37.3427879287952,-0.0074133610418470886,-0.01712308761003567,0.29238212472592184,,,,0.0016317583817256195,7.697698255403988e-06,1.600514501878016e-05,0.0,0.0,0.0,4.636676517739161,1.2916131954839045,-42.06504531729117,,,,,,
NorESM1-M,0.004166245596574588,0.0026463086742282323,0.0006057214426505697,,,,0.1354412501849001,0.0855435578862046,0.008010085707675117,2.0813438323466684,1.4787270259531908,-34.34665555172307,-0.5996501727950232,-0.31628584730279385,92.8507447924603,0.005922722043637412,,0.00019718803743536546,0.10157986114078033,-0.0035001142335164825,0.5808344268080865,0.10574610934466355,-0.000853804685477022,0.5814401482306834,0.09693604295289415,-0.001657996539929596,0.5683361702441514,12.287935474291885,4.179639097036855,118.33668717795334,10.05189045230992,2.508018486156942,157.0400369731354,-0.0637748668269571,-0.09741181497937457,1.7240694549715607,-0.05534013563364759,-0.08246966905556308,1.448120059188422,,,,0.010825399844477168,0.09240799623380225,-4.088755083614829,2.2360450219819654,1.6716206108798985,-38.70334979518204,-2.216785112042679,-1.5642706015921988,34.33864551947754,2.2276104885891783,1.6566785975720535,-38.4274005513947,-0.008434731212636215,-0.014942145923811267,0.2759493957831388,0.020009628132544588,,1.90660892433264,,,,-4.693061662651985,,998.8143982353741,3.5310674591296447,0.8433330394749703,-42.63169014454437,,,,,,
_mean,0.005572174586925036,0.0010910045425919167,0.05333195739557683,0.0013028665937959705,-0.17861459317188222,2.559149921273124,0.14531703547550007,0.050345993030376054,0.14684294107434537,2.0074890088428643,1.1919334319125647,-25.071282716424715,-1.4426809846552504,-0.8694447992004039,95.03329887456019,-92.57551299182356,0.06541300547059246,158.65660201780946,0.18920388493102522,-0.0007309131513863892,0.542354727847245,0.19486017374247433,-0.001770501424208093,0.5914032956313137,0.16214969932536535,-0.0018873811204522181,0.4967647553948075,15.875494715454938,3.772532473967667,113.93947507017805,13.611769103975874,2.534607645380437,152.74074236200283,-0.06822377646574052,-0.08908279264410002,1.9030608098991877,-0.05592866928177813,-0.07194790611494643,1.5345343016430102,,,,0.0019464109759013632,-0.056137503965133374,-14.004193340782171,-1.465520536456792,1.1136253734462245,-37.55068096980129,-2.107218063133146,-1.1534108998062123,23.182185416403478,2.1091644865071095,1.0972733884568577,-37.18637874480127,7.063351596359,-0.016351982377648584,0.36430223503841697,-182.6661066942841,-0.0008386415886200371,197.47822620288986,0.0013933070716407208,2.0677288840566554e-06,3.0566252165255845e-05,-99881.16727456369,18.616999767019117,128473.44755555154,4.763535217441001,0.8245353909282339,-40.43874319107149,3.082722426016108,0.6623111160937896,-183.25710789681347,3.794391321216011,0.20021275551524909,-34.318024186183
_median,0.004780710471893941,0.0010429823716271304,0.0005391283181132973,0.0013028665937959705,-0.17861459317188222,2.559149921273124,0.1354412501849001,0.045828070752497396,0.008010085707675117,2.0813438323466684,1.1413540583104123,-31.635659613793937,-0.922923139122247,-0.596781503592112,94.1282602983081,-0.36201292121882034,0.06541300547059246,82.57596231069215,0.19234676812162843,0.0005603872485789863,0.5387309307362342,0.19486017374247433,0.002547656783938701,0.5494784864645487,0.16214969932536535,0.0025175113148651063,0.4967647553948075,15.875494715454938,3.948643310269614,112.31620500046668,13.34256421402742,2.481075963506271,153.69514896532203,-0.06822377646574052,-0.09112568553981859,1.933382929988361,-0.05592866928177813,-0.07007627828253318,1.560913931634364,,,,0.006385905410189265,0.0852029452291383,-4.618962635699519,2.128514308874287,1.1151550722307846,-37.63517008035791,-2.261915155128328,-1.12942301139082,31.200009190935802,2.1705316987712564,1.0980322028133003,-37.3427879287952,-0.010547527362674947,-0.016351982377648584,0.38016085664911803,-0.06610504820230689,0.0003206975091238906,2.630846413479551,0.0013933070716407208,4.882713569730322e-06,1.8963216468772728e-05,-15.119707096340562,0.0,994.2936117607682,4.675636364675611,0.8245353909282339,-43.068670766711186,3.082722426016108,0.6623111160937896,-183.25710789681347,4.351415788612616,0.20021275551524909,-36.57370539394668
